,with VD: -0.15,mode deprojection: -0.15,DES Y1 method: -0.15,stars,with VD: -0.287,mode deprojection: -0.287,DES Y1 method: -0.287,with VD: -0.5,mode deprojection: -0.5,DES Y1 method: -0.5,with VD: -1,mode deprojection: -1,DES Y1 method: -1
0,1.0217580852978037,0.9965565254915931,0.9978485263702777,-0.16174579,1.043396400980107,0.9965644621775338,0.9976581493443499,1.076364819453381,0.9957871129376465,0.9967562666881707,1.1562153227485514,0.9958800072412767,0.9969563642809413
1,1.019981559662266,0.9977533892983084,0.9988682480067796,-0.13235742,1.0396467071283406,0.9983402037935164,0.999235871699038,1.0691440850842469,0.9980732862233255,0.9987739183075093,1.139106637915503,0.9976883790513745,0.9984173507007332
2,1.0199113807783258,1.0003036137282406,1.0012456120775637,-0.11680299,1.0364931768177048,1.0000561565060333,1.0007960656309887,1.0638480498131424,1.0011555454229462,1.0016062734977491,1.1253333652087623,1.0005864233312283,1.000939323889746
3,1.015731307698978,0.9993456051315367,1.0001452703333782,-0.09668845,1.0300951808136614,0.99964570761532,1.0002704754760934,1.0522029575078864,0.9998124569719599,1.0002472393332449,1.1041750884386294,0.9999273033347992,1.0002569043030631
4,1.0122080240013336,1.0002934541731476,1.0008696760508833,-0.07089245,1.0218204303553908,0.9996796418747085,1.000143361371326,1.0378524829511777,0.9997576698420224,1.0000846585221035,1.0763793509556334,1.0005774431679715,1.000796337503334
5,1.009572532479972,1.002972505734428,1.0032708481374788,-0.03851199,1.01547589131632,1.0032110929856046,1.0034173911544535,1.0240310130242247,1.0029285486455182,1.0030307059073011,1.0446647788192565,1.0026746250851064,1.00268233603019
6,1.0049651247526368,1.0059017976563938,1.0058552729519321,0.0070023835,1.0038381063610557,1.0055787211660163,1.0055433265094864,1.002779790200942,1.0057746426989849,1.0057513785924659,0.9996255197257011,1.0055847439445944,1.0055595923271783
7,0.9885562094155614,1.0000450493879032,0.9994871591591401,0.07109976,0.9792294686851868,1.000579125398287,1.000154804576413,0.9634168457764871,1.000150459989899,0.9998568716796903,0.927342681367897,1.0004360452684926,1.0002786061766582
8,0.9722071697175435,1.000260023715969,0.9988498676910883,0.17441869,0.947072968902624,0.9992034541501278,0.9980032709132516,0.9094532860934368,0.9991475214421857,0.9982030191230259,0.8207412785523676,0.9992168662264488,0.9982383602330709
9,0.9351171814659455,0.9965750270103809,0.9932219751585694,0.41786015,0.8829356436612855,0.9971424659217742,0.9942295094294771,0.800910558761081,0.9974115801045463,0.9949382227432996,0.6064179381948089,0.997420048045802,0.9941522929746978
