,Unnamed: 0,"temp_vals, $n_{star}$",VD: $n_{star}$: ngals,VD: $n_{star}$: ngals unc,"temp_vals, completeness",VD: completeness: ngals,VD: completeness: ngals unc,"temp_vals, extinction",VD: extinction: ngals,VD: extinction: ngals unc,nstar: ngal,nstar: ngal unc,completeness: ngal,completeness: ngal unc,extinction: ngal,extinction: ngal unc
0,0,1.003596305847168,0.0021693106714624,6.27645772953764e-05,0.8674601912498474,-0.0038059820617364,0.0005537729260142,0.0213420761173226,0.0022054317199654,0.0001024816584329,1.0021693106714624,6.27645772953764e-05,0.9961933670688387,0.0005537326141582919,1.0017267764518052,0.00013604040555736626
1,1,1.0882560014724731,-0.0008337989748468,0.0004090592999685,0.8816207647323608,-0.0065672374835442,0.0003827534765967,0.0310381769715024,0.0011706179642024,0.0001750329400349,1.0021693106714624,6.27645772953764e-05,0.9934238312750316,0.0003824581565397594,0.9929327319986193,0.00026116623511438517
2,2,1.1475191116333008,-0.0049396493490796,0.0005338026314793,0.8957504630088806,-0.0078685363761638,0.0003397247816132,0.0384891823715421,-0.0002577016969201,0.000161795861065,1.0020053183213955,8.167487098270563e-05,0.9921314959282294,0.000339670431865196,0.9830132065049746,0.0038498584400989
3,3,1.2076998949050903,-0.0066301848295773,0.0006053677449059,0.9097533822059632,-0.0078123195532663,0.0002451441423644,0.0458983448236077,-0.001750967489333,0.0001892602449914,0.9992329295593337,0.0004013646960545716,0.9921947844877882,0.0002450324406701853,0.9830132065049746,0.0038498584400989
4,4,1.2680703401565552,-0.0124676085875767,0.0006348700189669,0.923550546169281,-0.0054731599299097,0.0002083639364277,0.0533243811263351,-0.0045800917713839,0.0002004388908126,0.9945750700934057,0.0005543459200070491,0.9945230303638634,0.00020842383904323176,0.9830132065049746,0.0038498584400989
5,5,1.3270845413208008,-0.0126840348856103,0.000644619092156,0.9375733733177184,-0.0019165005670691,0.0001540901080318,0.060786000783105,-0.0067417073162885,0.000206199704181,0.9899254488286882,0.0006227755336827702,0.9980765603914815,0.00015419599625623559,0.9830132065049746,0.0038498584400989
6,6,1.3841739892959597,-0.0118237264214336,0.0007996779853751,0.9515430331230164,0.0009830276930974,0.000117346126071,0.0680535858160604,-0.0070245641363348,0.0002373991406765,0.9873380804705323,0.0006436228905502054,1.0009827678920398,0.00011734941837392547,0.9830132065049746,0.0038498584400989
7,7,1.4470759630203247,-0.0188092315004472,0.0008712699278499,0.9653719663619996,0.0017097552850406,7.676213547737402e-05,0.0744926525886617,-0.0071754011893467,0.0003213484150528,0.9868307370972798,0.0008134679074031316,1.001706024718119,7.697046841329984e-05,0.9830132065049746,0.0038498584400989
8,8,1.5065909624099731,-0.0222051224362853,0.0011399456465764,0.9775242805480956,0.0026639908450256,0.0001366984785041,0.0817478763629378,-0.0078680129491489,0.000914841870243,0.9794867760428787,0.001006086212192214,1.002659932996709,0.00013644360161744958,0.9830132065049746,0.0038498584400989
9,9,1.565531611442566,-0.0212504816918091,0.0014763579449471,0.98962664604187,0.0026817101840681,0.0004243878767219,0.0888374246053054,-0.0169867934950254,0.0038498584400989,0.9785782900147169,0.0014160176503524985,1.0026816992755094,0.00042421076646610966,0.9830132065049746,0.0038498584400989
