,nstar: temp_vals,nstar: ngal,nstar: ngal unc
0,0.868317723274231,1.0009054049057655,0.00033951191680420923
1,0.9299818873405457,1.003390482882583,0.0003738289257243174
2,1.0082193613052368,1.0029578310455503,0.0005050341760882626
3,1.0863748788833618,1.0010233417346464,0.0006256881086972789
4,1.1647944450378418,0.9996692655311061,0.0007905829645913617
5,1.243321418762207,0.9895724047904747,0.0009198363255990559
6,1.321054220199585,0.989632902524903,0.001034514491162323
7,1.3962900638580322,0.9831249343743417,0.0013791111967110022
8,1.4769394397735596,0.9729055704137486,0.0016430177419964787
9,1.554959774017334,0.9807192761051147,0.001882251527829056
