,"temp_vals, $n_{star}$",VD: $n_{star}$: ngals,VD: $n_{star}$: ngals unc,"temp_vals, completeness",VD: completeness: ngals,VD: completeness: ngals unc,"temp_vals, extinction",VD: extinction: ngals,VD: extinction: ngals unc
0,1.003596305847168,0.0021693106714624306,6.27645772953764e-05,0.8674601912498474,-0.003805982061736439,0.0005537729260142,0.0213420761173226,0.0022054317199654825,0.0001024816584329
1,1.0882560014724731,-0.0008337989748468962,0.0004090592999685,0.8816207647323608,-0.006567237483544263,0.0003827534765967,0.0310381769715024,0.0011706179642024888,0.0001750329400349
2,1.1475191116333008,-0.004939649349079618,0.0005338026314793,0.8957504630088806,-0.007868536376163866,0.0003397247816132,0.0384891823715421,-0.0002577016969201738,0.000161795861065
3,1.2076998949050903,-0.006630184829577389,0.0006053677449059,0.9097533822059632,-0.0078123195532663016,0.0002451441423644,0.0458983448236077,-0.0017509674893330146,0.0001892602449914
4,1.2680703401565552,-0.012467608587576721,0.0006348700189669,0.923550546169281,-0.00547315992990977,0.0002083639364277,0.0533243811263351,-0.0045800917713839685,0.0002004388908126
5,1.3270845413208008,-0.01268403488561038,0.000644619092156,0.9375733733177184,-0.0019165005670691636,0.0001540901080318,0.060786000783105,-0.006741707316288528,0.000206199704181
6,1.3841739892959597,-0.011823726421433662,0.0007996779853751,0.9515430331230164,0.0009830276930974501,0.000117346126071,0.0680535858160604,-0.007024564136334868,0.0002373991406765
7,1.4470759630203247,-0.018809231500447294,0.0008712699278499,0.9653719663619996,0.0017097552850406637,7.676213547737402e-05,0.0744926525886617,-0.007175401189346787,0.0003213484150528
8,1.5065909624099731,-0.02220512243628533,0.0011399456465764,0.9775242805480956,0.0026639908450256946,0.0001366984785041,0.0817478763629378,-0.007868012949148942,0.000914841870243
9,1.565531611442566,-0.02125048169180916,0.0014763579449471,0.98962664604187,0.002681710184068113,0.0004243878767219,0.0888374246053054,-0.016986793495025476,0.0038498584400989
