,nstar: temp_vals,nstar: ngal,nstar: ngal unc,completeness: temp_vals,completeness: ngal,completeness: ngal unc,extinction: temp_vals,extinction: ngal,extinction: ngal unc
0,0.868317723274231,1.0009054049057655,0.00033951191680420923,0.8674635291099548,0.9621059506765685,0.002217949377098986,0.02582702785730362,1.0000380651806549,0.0002226730410669447
1,0.9299818873405457,1.003390482882583,0.0003738289257243174,0.8817177414894104,0.9797608106106835,0.0017541374003067162,0.06987656652927399,0.9962828391648288,0.00039938223989855864
2,1.0082193613052368,1.0029578310455503,0.0005050341760882626,0.8957585096359253,0.9880028501389507,0.0012242771091473801,0.1371629536151886,1.0184692251874459,0.0012501142046104545
3,1.0863748788833618,1.0010233417346464,0.0006256881086972789,0.9097952842712402,0.9911495598391004,0.000901760359519167,0.2049219161272049,1.059908551624683,0.00314861180586948
4,1.1647944450378418,0.9996692655311061,0.0007905829645913617,0.9235280752182007,0.9903054424211639,0.0006857066892129689,0.2710372507572174,1.1119544986764294,0.007206182070676113
5,1.243321418762207,0.9895724047904747,0.0009198363255990559,0.9375460147857666,0.995135010065842,0.0005468245355318965,0.3393423557281494,1.1435235903103913,0.014528938331927208
6,1.321054220199585,0.989632902524903,0.001034514491162323,0.9515417814254761,1.000824877779158,0.00042923199767869473,0.40456610918045044,1.0979871942567625,0.025405299562788836
7,1.3962900638580322,0.9831249343743417,0.0013791111967110022,0.965300977230072,1.0031057689090503,0.00035319979091303407,0.4699764549732208,1.0417916271221135,0.03247240736292116
8,1.4769394397735596,0.9729055704137486,0.0016430177419964787,0.9774726033210754,1.0077700079406593,0.0004274121612232412,0.5334678292274475,0.9676512160131169,0.05201392798482063
9,1.554959774017334,0.9807192761051147,0.001882251527829056,0.9896191954612732,1.0053231876863473,0.001643582641204136,0.5946618318557739,0.6561159574687478,0.15935421122617918
